"","character(0)"
"accessories",2
"accompanying",11
"accomplish",2
"accomplish.",1
"accomplished",6
"accordance",1
"according",94
"accordingly",1
"accordingly,",6
"accordingly.",2
"account",1
"accumulated",2
"accumulating",2
"accuracy",1
"achieve",4
"achieved",2
"acquired,",1
"acquires",2
"acre",1
"across",12
"act",3
"acting",1
"action",11
"action—",1
"actions",2
"activate",3
"activated",5
"activation",1
"activation.",1
"activities",2
"activities.another",1
"activity",1
"acts",2
"actual",2
"actuate",4
"actuated",12
"actuated.u.s.",1
"actuating",3
"actuation",2
"actuator",1
"adapt",4
"adaptation",2
"adapted",16
"added.",1
"addition",2
"addition,",4
"additional",19
"additional,",1
"additionally",7
"additionally,",3
"adequate",2
"adhesive",6
"adjacent",23
"adjacently",1
"adjoin",2
"adjust",3
"adjustable",8
"adjusted",8
"adjusted,",1
"adjusters",1
"adjusting",1
"adjustment",15
"admission",1
"adopt",1
"adopted,",1
"advance",3
"advanceable",1
"advances",1
"advantage",1
"advantageous",8
"advantageously",1
"advantageously,",1
"advantages",3
"advantages,",6
"advertise",1
"aerate",1
"aesthetic",2
"affect",1
"affixed",3
"aforementioned",2
"agreementnot",1
"agricultural",36
"agriculture",2
"agriculture,",1
"air",145
"air,",2
"air.",2
"air)",2
"airflow",6
"airflow.",3
"al.",3
"alarm",4
"alb)",1
"alb),",1
"alert",1
"algorithm",5
"algorithms",1
"aligned",4
"alleviate",1
"allow",13
"allowance.",1
"allowed",2
"allowing",4
"allows",13
"along",35
"already",1
"also",77
"also,",1
"alternate",4
"alternately",4
"alternative",12
"alternative,",1
"alternatively",4
"alternatively,",11
"alternatives,",1
"alternator",1
"alternator.",1
"although",11
"aluminum",2
"aluminum.",2
"always",2
"among",1
"amount",6
"amount,",2
"amounts",2
"amounts,",1
"analogous",1
"anchor",2
"anda",1
"andat",1
"andfig.",4
"angle",8
"angled",1
"angles",1
"angular",11
"angularly",1
"annexed",2
"annotations",1
"another",37
"another,",1
"another.",5
"another.background",1
"anti-clockwise",2
"antimicrobial",2
"apart",5
"apertures",1
"apparatus",12
"apparatus)",1
"apparatuses",1
"apparent",6
"apparently",1
"appeal",2
"appearance",1
"appended",9
"appendix",1
"applicability",2
"applicable",6
"applicable.background",1
"applicable.names",1
"applicable.reference",1
"applicable.statement",1
"application",28
"application,",4
"application.",3
"application.background",1
"application.statement",1
"applications",3
"applications,",3
"applicationsi",1
"applicationsnot",1
"applicationsthis",2
"applicationthis",1
"applicator",10
"applied",13
"applied,",2
"applied.figs.",2
"apply",7
"applying",4
"appreciated",14
"appreciated.",2
"appropriate",4
"appropriately",1
"approximately",8
"arc-shaped",2
"arc-shaped.",2
"area",10
"area.",2
"areas",1
"areas.",1
"armature",1
"around",8
"arranged",42
"arranged.",8
"arrangement",9
"arrangements",2
"arrangements,",1
"array),",1
"art",24
"art,",11
"art.",1
"art.one",1
"artany",1
"artdevices",1
"artplanters",1
"asic",1
"asic,",1
"aspect",2
"aspect,",2
"aspects",1
"assembled",4
"assemblies",22
"assemblies,",4
"assemblies.",5
"assemblies.air",1
"assemblies.fig.",1
"assembling",1
"assembly",212
"assembly,",4
"assembly;fig.",1
"assembly.",12
"assembly.fig.",2
"assess",1
"assigned",1
"assist",1
"associated",65
"associated.",2
"association",2
"atmosphere.",2
"atmosphere..",1
"atmosphere.brief",1
"attached",27
"attached.",7
"attaches",1
"attachment",31
"attachments",1
"attempt",2
"attempts",2
"attendant",1
"attributes",1
"audible",1
"audible,",2
"augmented",1
"automatic",4
"automatically",7
"autumn",1
"available,",1
"average",7
"avoid",4
"avoids",1
"away",19
"axes",6
"axes.",2
"axial",8
"axially",4
"axially,",1
"axially.",1
"axis",28
"axis,",2
"axis.",2
"axle",1
"axonometric",1
"b),",3
"back",24
"background",1
"backlight",1
"backpressure.pressure",1
"bagging",4
"bails",2
"balanced",2
"balancing",2
"bar",69
"bar,",1
"bar;",1
"bar.",2
"bars,",1
"baseboard).",1
"based",27
"basic",1
"basically",1
"basis",3
"battery",2
"baum",2
"beam",12
"beam,",2
"beam.",3
"beam.optionally,",1
"become",5
"becomes",2
"bed,",1
"bed.brief",1
"bee",1
"bees",2
"behind",25
"believed",2
"belongs.",1
"belt",17
"belt,",2
"belt.",2
"belts",1
"belts/pulleys,",1
"beneath",3
"benefit",6
"benefits",6
"bent",8
"best",2
"better",12
"bevels",2
"biased",8
"biodegradable",3
"blade",33
"blade,",2
"blades",15
"blades.",3
"block",12
"blocked",6
"blocked.",1
"blocking",3
"blocks",9
"blowers",1
"blown",1
"blue",2
"blunt.",4
"board",1
"body",1
"body,",1
"bogner",1
"bolted",1
"bolting",1
"bolts",6
"bolts.",6
"boom",2
"bottom",63
"bottoms",3
"boundary",1
"box",12
"boxes",2
"bracket",10
"bracket,",1
"bracket.brief",1
"brake",7
"branch",50
"branch,",2
"branched",2
"branches",8
"break",2
"breaking",1
"brief",1
"broadly,",2
"broken,",1
"brought",1
"brushless",2
"budgets",1
"buffer",1
"bui.",1
"burying",3
"bus",5
"bus,",1
"bus.",1
"buttons",1
"buttons),",1
"cab",1
"cable",2
"calculated",3
"calculates",2
"calculating",1
"calculation",2
"can",169
"cap",11
"capabilities",1
"capable",7
"capacity",2
"captured",1
"care",72
"care.",1
"care”",1
"care/yard",1
"carefully",1
"carried",12
"carrier",13
"carriers",4
"carry",4
"cart",7
"cascade",1
"case",7
"case,",6
"cases",6
"cases,",31
"cast",4
"catch,",1
"categories",2
"cause",12
"caused",1
"causes",2
"causing",3
"cavity",5
"ceases",1
"center",23
"center,",1
"centers",1
"central",8
"centrally",6
"centrally,",2
"centre",5
"centrifugal",2
"certain",11
"cfr",2
"chain",4
"chain,",1
"chains",29
"chains.",2
"chance",2
"change",4
"change.summary",1
"changes",6
"changing",1
"channel",6
"channels",4
"characteristic",1
"characteristics",4
"characterize",1
"characterized",5
"characters",3
"chart",1
"chassis",2
"check",2
"checked",1
"chemical",10
"chemicals",3
"chemicals,",1
"chemicals.",1
"chip",5
"chip.”",1
"chip)",1
"chips)",1
"chipset",1
"chisel",3
"chisel,",1
"chisel.",1
"chopper",46
"chopper.",6
"chopper.according",2
"chopping",10
"circles",4
"circuit",2
"circuit,",1
"circuit),",1
"circuitry",59
"circuitry—",1
"circuitry.",1
"circuits",1
"circular",2
"circumferentially",1
"claim",3
"claimed",2
"claims",8
"claims,",1
"claims.",7
"clean",9
"cleaned",2
"cleaned,",1
"cleaner",4
"cleaning",62
"clear",10
"cleared",4
"cleared.",1
"clearing",2
"clearly",1
"clip",1
"clippings",1
"clods",2
"clods,",1
"clods.evidently,",1
"close",9
"close-",3
"closed",7
"closed,",2
"closed.",1
"closes",6
"clothianidin,",1
"clutch",51
"clutch,",5
"clutch.",5
"coating,",2
"coaxially",2
"code,",1
"collapse",1
"collapsing",1
"collect",2
"collected",2
"collecting",5
"collection",5
"collectively",1
"collector/distributing",2
"collector/distribution",53
"collects",2
"collide",6
"collision",2
"collisions",2
"collisions.",4
"collisions.correspondingly,",2
"colony",1
"coloring",2
"column",4
"combination",6
"combination,",1
"combinations",8
"combine-harvester",2
"combine-harvester,",2
"combine-harvester.",8
"combined",2
"combines",1
"combustion",2
"come",4
"commenced",1
"commensurate",1
"common",14
"commonly",11
"communicate",5
"communicated",3
"communicates",11
"communicating",2
"communication",17
"communications",1
"compact",1
"compact,",1
"compaction.",1
"company",1
"company.",1
"comparatively",1
"compared",4
"compares",1
"comparison",1
"compartment",12
"compartment.",1
"compartment)",2
"compartments",3
"compartments,",2
"compensating",1
"completed",1
"completely",2
"complex",3
"component",3
"component)",1
"components",19
"components.",3
"composed",1
"composite,",1
"comprehensive",1
"comprise",22
"comprised",12
"comprises",86
"comprises:",1
"comprising",26
"comprising:",4
"computer",4
"computer.",1
"computer).",1
"computing",1
"concave",4
"concentration",4
"concepts",1
"condition",9
"conditions",9
"conditions,",1
"conditions.",1
"conducting",1
"conduit",12
"conduit.",1
"conduits,",1
"cone",4
"cone-shaped.",4
"cones",2
"configuration",6
"configuration,",1
"configuration.",2
"configurations",1
"configurations,",1
"configure",1
"configured",48
"configuring",1
"confirm",8
"conflict,",1
"conjunction",5
"connect",2
"connected",82
"connecting",11
"connection",19
"connection,",1
"connector",7
"connectors",8
"connects",2
"consequence",1
"consequent",2
"consequently",6
"conservation",1
"considerable",1
"consideration",1
"considerations",1
"considered",8
"consistent",2
"constant",6
"constitute",2
"constrain",1
"constructed",1
"constructing",2
"construction",3
"construed",2
"consumers.",1
"consuming",2
"consumption",3
"contact",75
"contact.",1
"contact).",1
"contacted),",1
"contacting",1
"contacts",9
"contacts.",1
"contain",3
"contained",1
"container",12
"containing",1
"contains",2
"contaminate",2
"contaminated",3
"contaminating",1
"contemplated",3
"contents",1
"context",3
"continually",3
"continuation",2
"continue",2
"continues",3
"continuing",1
"continuity",3
"continuous",2
"continuously",4
"contrary,",1
"contrast,",1
"contributes",1
"contribution",2
"control",86
"control.",1
"controlled",12
"controller",40
"controller,",1
"controller.",1
"controllers",1
"controllers,",3
"controlling",5
"controls",5
"controls,",1
"convenience",4
"convention",1
"conventional",13
"conversion",1
"convert",1
"converter",1
"convexly",2
"convey",1
"conveyed",4
"conveyer",3
"conveying",60
"coordination",1
"coprocessor,",1
"corn",13
"corn,",1
"corner",1
"corners",2
"correctly",1
"correspond",2
"correspondence",1
"corresponding",51
"corresponds",6
"costs",1
"costs,",1
"cotter",8
"cotton).",1
"coulter",3
"counter-rotating",6
"counter,",1
"countries",2
"countries,",1
"counts",1
"couplable",2
"couple",4
"coupled",25
"couples",2
"coupling",14
"cover",2
"coverage",1
"covered",1
"covering",11
"crank",1
"crankshaft",1
"create",7
"created",3
"creates",2
"crevices.",2
"critical",1
"critical,",2
"crop",8
"crop,",2
"crop.",1
"crops,",1
"crops.",1
"cross",6
"cross-layeral",1
"cross-reference",2
"cross-section",8
"cross-section.",2
"crumbling",1
"cultivate",1
"cultivation",2
"cultivator",1
"cultivator,",2
"cultivator.brief",1
"cultivators",2
"current",6
"current,",1
"current.",1
"currently",3
"curve",1
"curved",18
"curved,",2
"cut",12
"cut,",1
"cuts.",1
"cutting",150
"cutting,",1
"cycle",1
"cyclonic",4
"cylinders",5
"cylindrical",6
"cylindrically",1
"dalfors",3
"dampen",1
"dampened",1
"dampened.referring",1
"dampening",1
"dashed",2
"data",16
"data,",1
"databases",1
"de-energize.",1
"debris",30
"debris,",1
"debris.",1
"decay",2
"deck",20
"deck.",1
"decoupled",1
"decrease.",1
"decreased",1
"decreasing",1
"dedicated",2
"deemed",3
"deeper",1
"deeply",1
"default",1
"default,",1
"define",2
"defined",6
"defined,",1
"defines",2
"defining",4
"definition",1
"definitions,",1
"degree",2
"deliver",4
"delivered",7
"delivering",4
"delivers",1
"delivery",2
"demonstrative",2
"denote",1
"dense",1
"departing",3
"department",1
"departures",1
"depend",1
"dependence",1
"depending",2
"depends",3
"depict",1
"depicted",2
"deposit",3
"depositing",2
"depressed",2
"depressing",1
"depressions",2
"depth",4
"depth.",1
"derivatives",1
"describe",4
"described",49
"described,",3
"described.",2
"description",33
"description,",2
"descriptionreferring",1
"descriptions",6
"descriptionsome",2
"descriptionthe",1
"descriptive",2
"descriptively",1
"design",5
"designate",1
"designated",28
"designed",11
"designs",1
"designs,",1
"desirable",7
"desire",1
"desired",13
"desires.",1
"detach",1
"detachable",3
"detached",1
"detail",10
"detail,",2
"detailed",8
"details",3
"details.fig.",1
"detect",4
"detected",2
"detects",1
"detents,",1
"determination",12
"determine",3
"determined",4
"determines",2
"developed",1
"development,",2
"developmentnot",2
"developments",2
"deviates",1
"deviation",1
"device",102
"device,",5
"device.",7
"devices",45
"devices,",3
"devices.",5
"devices.turning",1
"devices).",1
"diagram",15
"diagrammatic",5
"diameter",81
"diameter,",1
"diameters",6
"diameters,",1
"dictate",1
"difference",2
"different",42
"differentiating",1
"differently",1
"difficult",3
"difficulty",2
"diffused",1
"dig",1
"digging",1
"diluted",1
"dimensional",2
"dimensions",2
"direct",9
"directed",17
"directing",3
"direction",51
"direction,",7
"direction.",18
"direction)",1
"directions",17
"directions,",1
"directions.",3
"directions.brief",1
"directly",10
"directs",1
"dirt",1
"disabled",1
"disabled.fig.",1
"disadvantages",1
"disadvantages.",1
"disassembled",1
"disc",10
"disc,",1
"disc.",7
"disc)",1
"discard",1
"discharge",2
"discharge.",1
"discharged",1
"discharging",1
"disclose",5
"disclosed",11
"discloses",19
"disclosure",12
"disclosure,",4
"disclosure.",4
"disclosure.background",1
"disclosure.brief",1
"disclosure.fig.",2
"disclosure.therefore,",1
"disclosurean",1
"disclosurefield",1
"disclosurethe",1
"discnot",1
"discontinuous",1
"discussed",2
"discussion",1
"disengage",13
"disengage.",1
"disengaged",5
"disengaged,",2
"disengagement",16
"disk,",1
"disks",1
"dislodge",4
"dislodges",1
"dislodging",1
"dismounted.fig.",1
"dismounting",1
"disorder.",1
"dispense",3
"dispensed",7
"dispenser",4
"dispenser.",1
"dispensers",18
"dispensers;",1
"dispensers.",2
"dispensing",9
"dispersed",4
"displaced",2
"displacement",5
"displacement.",2
"display",7
"display,",1
"displays",1
"disposal",3
"disposed",48
"distal",12
"distance",15
"distance.",4
"distinct",1
"distracting",1
"distractions",1
"distribute",3
"distributed",2
"distributes",1
"distributing",3
"distribution",52
"distribution.",2
"diverges",1
"divert",2
"diverted",1
"diverter",25
"diverters",2
"diverting",3
"divide",1
"divided",2
"divider",1
"dividing",1
"done",1
"double",7
"double),",1
"dovetail",2
"downstream",10
"downward",1
"downward)",1
"downwardly",3
"downwards.",2
"drag",1
"dramatic",1
"draw",3
"draw-",176
"drawbacks",4
"drawbacks.",2
"drawbacks.ploughing",1
"drawing,",2
"drawing(s)",2
"drawings",14
"drawings,",10
"drawings.",9
"drawings.brief",1
"drawings.c.",1
"drawingsalthough",1
"drawingsfig.",2
"drawingsfor",1
"drawingsthe",2
"drawingsvarious",1
"drawn",11
"draws",4
"drill",2
"drive",19
"driven",15
"driven,",2
"drives",16
"driving",1
"drop",2
"drop,",1
"drop.",2
"drops",3
"dual",4
"duc",1
"due",6
"durability.",1
"dust,",1
"dynamics",2
"e.g.,",1
"e=).",1
"e=e).however,",1
"earliest",1
"early",1
"easier",2
"easier.",1
"easily",14
"easily,",1
"easily.",3
"easy",5
"eccentric",12
"eccentric-connecting",1
"eccentric,",1
"eccentricity",7
"economy",1
"ed,",1
"edge",32
"edge,",3
"edge.",5
"edges",6
"effect",7
"effect,",1
"effect.",5
"effected",4
"effective",4
"effective,",1
"effectively",1
"effectiveness",2
"efficacy",1
"efficiency",4
"efficiency,",1
"efficiently",1
"effort",3
"eight",5
"either",23
"eject",1
"ejected",1
"elastic",1
"electric",5
"electrical",45
"electrical,",1
"electrically",3
"electrically,",1
"electricity",2
"electronic",5
"element",4
"element,",1
"elements",13
"elements,",1
"elements.",1
"elevation",4
"elevational",3
"elevations",2
"eliminate",1
"eliminated",1
"eliminates",1
"elongate",8
"elongated",29
"elongated,",1
"embedded",1
"embodied",14
"embodiment",75
"embodiment,",52
"embodiment;",2
"embodiment;fig.",6
"embodiment.",8
"embodiment.detailed",2
"embodiments",74
"embodiments,",39
"embodiments.",12
"embodiments)",1
"embodimentsas",1
"embodimentwith",1
"embodying",1
"employ",6
"employed",12
"employed,",6
"employed.",3
"employed.fig.",1
"employed)",1
"employing",1
"employment,",1
"employs",1
"emptied.",1
"enable",12
"enabled",6
"enabled,",1
"enabled.",1
"enablement",5
"enables",2
"enabling",8
"enb)",1
"enb),",1
"enb).",1
"enclosed",4
"encoder",1
"encoder)",1
"encoders",2
"encompassed",2
"encountered",2
"encountered.",1
"encountering",1
"end",112
"end,",4
"end.",2
"end)",1
"end).",1
"ending",4
"endlessly",2
"ends",17
"ends.",2
"energy",6
"energy-consuming",1
"energy,",1
"engage",25
"engage.",1
"engage/disengage.",1
"engaged",11
"engaged,",3
"engaged.",1
"engaged)",2
"engagement",53
"engages",5
"engaging",1
"engine",58
"engine,",3
"engine.",3
"engine)",1
"engines",1
"engines,",1
"enhance",1
"enhancers,",2
"enjoyment",1
"enlarged",4
"enough",1
"ensure",10
"ensures",1
"enter",1
"entering",5
"enters",2
"entire",4
"entirely",1
"entirety",3
"entirety.field",1
"entity",1
"entries",2
"entry",1
"environment",6
"environment.european",1
"environment.unless",1
"environmentally",4
"equal",7
"equidistant",1
"equipment",10
"equipment.one",1
"equipped",1
"equivalent",6
"equivalents",2
"equivalents,",1
"error",4
"escapes",1
"especially",1
"essential",3
"essentially",2
"etc.)",3
"etc.).",2
"even",9
"evenly",3
"event",2
"evolution",1
"exact",2
"example",100
"example,",52
"example.",1
"example)",1
"examples",2
"examples.",1
"examples.turning",1
"examplessome",2
"exceeded",1
"exceeding",1
"exceeds",5
"except",1
"exception",1
"excitation",13
"excitation)",1
"execute",1
"executed",2
"executing",1
"execution",4
"executor",1
"exemplary",12
"exerted",2
"exhaust",11
"exhausted",6
"existing",4
"exits",1
"expected",1
"expelled",2
"expensive",1
"experience",4
"experience,",1
"experience.",1
"experience.meanwhile,",1
"expert",1
"explained",2
"explaining",3
"explanatory",1
"explicitly",2
"exploded",3
"exposure",1
"expressed",1
"extend",45
"extend.",2
"extendable",1
"extended",12
"extended.",1
"extended..",1
"extended.another",1
"extending",22
"extends",32
"extension",29
"extensions",2
"extent",1
"exterior",3
"external",1
"externally",3
"extreme",1
"fabricated",1
"faced",2
"facilitate",8
"facilitate,",1
"facilitated",1
"facing",5
"fact",7
"fact,",2
"fails",3
"fall",1
"falling",3
"falls",5
"fan",35
"fan.",1
"fans",2
"farmer",6
"farmer's",1
"farther",1
"fashion",4
"fashion.",1
"faster",3
"fault",1
"favor",1
"features",13
"feb.",2
"fed",1
"federally",2
"feed",19
"feeding",1
"feet",5
"fender",1
"fertilize.",1
"fertilizer",20
"fertilizer,",7
"fertilizer.",4
"fertilizer.brief",1
"fertilizers",1
"fertilizing",1
"fiber",2
"fibrous",2
"field",22
"field,",4
"field.",7
"field.precision",1
"field.vacuum",1
"fieldexample",2
"fig.",131
"figs.",49
"figures",2
"figures,",1
"figures.detailed",1
"filed",5
"filled",4
"filling",6
"filling.h.",1
"filter",37
"filter,",1
"filter.",2
"filters",1
"filtration",3
"final",1
"finally",2
"finally,",2
"first",124
"fit",5
"fit,",1
"fits",5
"fitted",10
"fix",2
"fix,",1
"fixable",3
"fixation",1
"fixed",32
"fixed,",1
"fixed.",1
"fixing",34
"flange",3
"flanges",3
"flaps",2
"flares",4
"flaring",2
"flexibility",1
"flexible",4
"floor",3
"floor.",1
"flow",90
"flow.",3
"flow.however,",1
"flowers.",1
"flowing",2
"flows",3
"fluid",20
"fluidly",20
"flush",1
"flutings",6
"foam,",1
"following",8
"follows",1
"foot",2
"footrest",1
"force",18
"force,",1
"force.",1
"force)fig.",1
"foregoing",7
"foreseen",4
"forgets",1
"forgetting",1
"form",29
"form,",2
"form.",2
"formed",15
"forming",9
"forms",7
"forms.",1
"forth",8
"forward",21
"foul",1
"fouled",1
"fouling",3
"four",24
"four-fold",1
"four-speed",2
"four.",1
"fourth",10
"fpga",2
"frame",130
"frame-mounted",1
"frame,",4
"frame;",3
"frame.",10
"frame.according",2
"frame.backgroundwhen",1
"frame.since",1
"frame.speed",1
"free",6
"freedom",1
"freeing",1
"freely",1
"frequency",9
"frequency,",2
"frequency)f(n)=m·(πf)·e",1
"friction",5
"friend",1
"friendly",2
"front",59
"front-mount",1
"front,",2
"front,fig.",4
"front.",2
"fuel",6
"fulcrum",1
"fulfills",1
"full",3
"fuller",1
"fully",3
"function",15
"function:",1
"functional",13
"functionalities",2
"functionality",3
"functionally",1
"functioning",1
"functions",11
"functions,",2
"functions).",1
"fundamental",1
"fungicides,",2
"furrow",4
"furrow.",4
"furrowing",4
"furrows",1
"furrows,",1
"furrows.",2
"furthermore",12
"furthermore,",11
"future",1
"fuzzy",1
"gain",1
"gallons",1
"gap",34
"gap.",10
"gaps",8
"gasoline",1
"gate",1
"gather",1
"gauge",1
"gauge,",1
"gauges,",1
"gear",27
"gear,",1
"gears,",1
"general",4
"generally",22
"generally,",1
"generated",10
"generates",1
"generator",1
"generic",5
"geometric",1
"germinate.",1
"get",1
"getting",1
"give",1
"given",6
"goal",1
"gpa",1
"gps",1
"grab",1
"granular",2
"graspable",1
"grasped",1
"grasping",1
"grasps",1
"grass",6
"grass,",2
"grass).",1
"gravity",4
"greater",9
"greatly",1
"grip",26
"gripping",14
"grooming",1
"groove",2
"groove.",2
"grooved",1
"ground",27
"ground.",2
"group",49
"grouped",2
"groups",1
"growth",3
"growth.generally,",1
"guarantees",1
"guide",3
"guide.",2
"half",4
"hampered",1
"hand",4
"hand,",1
"hand.",1
"handle",18
"handle,",1
"handle.",1
"handlebar",2
"handles",2
"harder",1
"hardware",5
"hardware,",2
"harming",1
"harvesting",46
"hauled",2
"hauling",1
"head",23
"head.",2
"head.finally,",1
"headings",1
"heads.",1
"height",6
"height,",4
"held",3
"help",2
"helps",1
"hence",2
"herbicides,",2
"hereafter",1
"hereby",4
"herein",19
"herein,",12
"herein;",1
"herein.",10
"herein.d.",1
"hereinafter",4
"hereto.",2
"hexagonal,",1
"hexagonal),",1
"high",9
"high-frequency",1
"higher",2
"highlighting",2
"hill",1
"hinder",6
"hold",4
"holding",7
"holds",1
"hole",2
"hole,",1
"holes",10
"hollow",10
"hood",4
"hoods",6
"hook,",1
"hopper",19
"hoppers",12
"horizontal",80
"horizontally",11
"hose,",2
"hose)",1
"hose).f.",1
"host",2
"hour",1
"house",2
"housed",2
"houses",3
"housing",43
"housing,",1
"housing;whereby",1
"housing)",2
"housing).",1
"however",2
"however,",48
"humans.",1
"hung",2
"hydraulic",11
"hydraulically",1
"hydraulically,",1
"icon",2
"ideal",1
"identically",1
"identified",1
"idle",1
"illuminating",1
"illustrate",6
"illustrated",20
"illustrated).",2
"illustrates",22
"illustrating",3
"illustrative",4
"illustrative,",1
"imidacloprid)",1
"immediate",1
"impact",1
"impacted",1
"impaired",2
"implement",44
"implement,",1
"implement.",5
"implemented)",1
"implements",2
"implements,",1
"implements.detailed",1
"import.referring",1
"important",2
"imposed",1
"impress",1
"improve",10
"improved",11
"improvement",4
"improvement,",1
"improvements",1
"improves",2
"inadvertently.",1
"inclination",2
"inclined",4
"include",81
"include,",2
"included",6
"includes",74
"including",16
"inconvenient",1
"incorporated",6
"increase",10
"increase.",1
"increased",4
"increases",1
"indeed,",2
"independent",5
"independently",9
"independently,",1
"independently.",4
"indicate",3
"indicated",7
"indicates",1
"indication",2
"indications",2
"indicative",17
"indicative,",1
"indicator",15
"indicia",3
"indirect",2
"individual",35
"individually.",1
"induction",1
"industrial",1
"industry.",1
"inexpensive.",1
"inform",2
"information",5
"information,",1
"informational",1
"inhaled",1
"inherent",2
"inhibit",3
"inhibited.",1
"initial",1
"initially",6
"initiated",3
"initiation",1
"inject",1
"injection",1
"injector",1
"inlet",4
"inner",35
"innovative",2
"inoculates",3
"input",76
"input,",1
"input.",1
"input/output",1
"inputs",11
"inputs.",1
"insecticide",1
"insecticide)",1
"insecticides",2
"insecticides,",2
"insects",2
"inserted",8
"inserted.",1
"inserting",3
"insertion",1
"inside",5
"inside.",2
"insofar",1
"installed",8
"installed,",1
"instance",16
"instance,",1
"instance.",1
"instances",1
"instances,",1
"instant",2
"instead",5
"instead,",5
"instruction.",1
"instructions",9
"instructions,",1
"intake",5
"integrated",3
"intended",10
"intensity",2
"interaction",2
"interchangeable",1
"interconnected",1
"interconnection",2
"interface",10
"interfaces",1
"interfere",2
"interferes",1
"interfering",2
"interior",5
"interior.",1
"interlock",3
"interlock.",1
"interlocks",8
"interlocks,",1
"internal",19
"interpreted",5
"interruptions",1
"interval.",1
"intervening",2
"intervention.",2
"invention",93
"invention,",13
"invention.",16
"invention.detailed",2
"invention.exemplary",2
"invention.fig.",8
"invention.g.",1
"invention.therefore,",1
"inventiona.",1
"inventionaccording",1
"inventionfig.",1
"inventionin",2
"inventionreference",1
"inventions",6
"inventionthe",9
"inventionthis",1
"inventors.",1
"involved",1
"involves",1
"involving",1
"inward",2
"inwardly",3
"isolated",3
"isolation",1
"isometric",4
"jamming",1
"john",2
"joined",1
"joining",1
"joint",1
"joints,",1
"jones",1
"jun.",1
"just",1
"jutting",2
"keeping",1
"kent",1
"kept",1
"key",12
"key,",1
"keyed",1
"keyed.",1
"keys",1
"kill",1
"kilograms,",1
"knife",12
"knife),",1
"knives",61
"knives,",3
"knives.",2
"knowledge",1
"known",13
"known.ep",1
"kw,",1
"kw.",1
"l-shaped",2
"laborious",1
"land",1
"large",19
"large.",2
"larger",22
"last",5
"lateral",5
"laterally",4
"law",1
"lawn",101
"lawns,",1
"layer",17
"layers",2
"lead",7
"leaf",1
"leaking",1
"least",69
"leaves",12
"leaves.",1
"leaving",3
"left",62
"legal",3
"length",7
"lentz",2
"less",5
"level",8
"level,",2
"leveling",2
"lever",1
"levers,",3
"levers.",1
"lie",1
"lift",3
"lifted",1
"lifting",1
"light",16
"light-metal",2
"lights",2
"like",32
"like,",2
"like.",8
"like)",1
"like).",1
"likelihood",2
"likewise",2
"likewise,",2
"limit",8
"limitation",1
"limitation.",2
"limited",10
"limited.",1
"limiting",6
"limiting,",1
"limiting.",1
"limiting.brief",1
"line",77
"line.",4
"linearly",1
"lines",106
"lines,",7
"lines.",5
"lines.figs.",1
"lines)",2
"lines).",2
"linkage",2
"linkages",1
"linked",1
"lips",8
"lips;",2
"liquid",65
"liquid,",1
"list",1
"lit",1
"lit,",1
"lit.",1
"loaded",2
"loading",77
"loadings",1
"located",45
